"Patch","Lat","Lon","AREA","Road","X","Y"
"3700",NA,NA,NA,0,NA,NA
"3701",NA,NA,NA,0,NA,NA
"3702",NA,NA,NA,0,NA,NA
"3703",NA,NA,NA,0,NA,NA
"3704",NA,NA,NA,0,NA,NA
"3705",59.95,20.88,246.4379586,0,158.46207145,6661.3563987
"3707",59.95,20.88,403.0613533,0,158.45431366,6661.2496766
"3708",59.95,20.88,2792.350363,0,158.39163169,6661.2338705
"3709",59.94,20.88,727.6774133,0,NA,NA
"3714",59.92,20.9,2132.349065,0,NA,NA
"3731",60.19,19.8,164.8863875,0,101.39317579,6694.7884049
"3732",60.32,19.99,6390.864868,0,112.99817036,6707.1887454
"3733",NA,NA,NA,0,NA,NA
"3734",NA,NA,NA,0,NA,NA
"3735",60.22,19.57,152.7511984,0,88.816481692,6698.7121504
"3736",60.3,19.78,10.2839247,0,101.15714319,6706.1992822
"3737",60.3,19.78,12236.91466,1,101.40102192,6706.9720665
"3738",60.3,19.77,1424.284086,0,101.18406199,6707.0094533
"3739",60.3,19.78,42.3474388,1,101.48448446,6706.7638295
"3740",60.3,19.78,7082.336605,1,101.52070901,6706.5867783
"3741",60.3,19.78,792.4705629,1,101.2513327,6706.8524698
"3742",60.3,19.77,212.5047014,1,101.14621748,6706.8665007
"3743",60.3,19.77,2096.395075,1,101.02401585,6706.9060449
"3744",60.3,19.77,121.4636668,1,100.88717697,6706.8878968
"3745",60.3,19.77,482.5962355,1,100.87132126,6706.9730345
"3746",60.3,19.78,479.7064828,1,101.60048819,6706.9948074
"3747",NA,NA,NA,0,NA,NA
"3748",60.3,19.78,2758.205865,1,101.58767054,6706.786834
"3749",60.3,19.78,412.7667858,1,101.66420736,6706.7328582
"3750",60.3,19.79,71.55378936,1,101.84633858,6706.5407495
"3751",NA,NA,NA,0,NA,NA
"3752",60.3,19.79,1188.978722,1,102.01566777,6706.284249
"3753",60.29,19.78,1491.490697,0,101.63943051,6705.7227837
"3754",60.29,19.78,637.4021961,0,101.59364445,6705.6519398
"3755",NA,NA,NA,0,NA,NA
"3756",60.29,19.78,221.584411,1,101.25239513,6705.9982196
"3757",NA,NA,NA,0,NA,NA
"3758",60.3,19.78,1152.310402,1,101.2860589,6706.3703131
"3759",NA,NA,NA,0,NA,NA
"3760",NA,NA,NA,0,NA,NA
"3761",60.29,19.76,73.09992556,1,100.1008801,6706.1903269
"3762",60.3,19.76,4166.091942,1,100.28934795,6706.4456847
"3763",NA,NA,NA,0,NA,NA
"3764",60.28,19.77,774.2712412,0,100.75207372,6704.0268159
"3765",NA,NA,NA,0,NA,NA
"3766",60.27,19.77,351.3850642,1,100.50639865,6703.7738883
"3767",NA,NA,NA,0,NA,NA
"3768",60.26,19.74,1441.408432,0,98.898174583,6702.3677972
"3769",60.25,19.74,2388.872968,0,98.774011699,6701.4929261
"3770",60.25,19.74,133.2548039,0,98.903586337,6701.5266959
"3771",60.25,19.74,119.8178579,1,98.74564555,6701.4793614
"3773",60.24,19.75,2668.869193,0,99.249086797,6700.7039206
"3774",60.24,19.75,450.4616022,1,99.006741635,6700.5840353
"3775",60.24,19.74,345.6683617,0,98.784448268,6700.3439487
"3777",60.24,19.75,594.0987269,0,99.111152318,6700.2679897
"3778",60.23,19.8,280.3485173,1,101.50281564,6699.0785399
"3779",60.31,19.9,116.1962534,0,108.29371369,6707.4492774
"3780",60.37,19.88,3851.02531,0,108.02215576,6714.3133077
"3782",60.39,19.81,2355.468253,1,104.1314342,6715.9943303
"3784",60.28,19.96,91.27913819,0,111.13495867,6703.2017964
"3785",60.31,19.83,23.7088775,0,104.26844791,6707.2004072
"3786",NA,NA,NA,0,NA,NA
"3787",NA,NA,NA,0,NA,NA
"3788",NA,NA,NA,0,NA,NA
"3790",NA,NA,NA,0,NA,NA
"3791",60.3,20.12,1767.783952,1,120.31383493,6704.2915954
"3792",60.09,20.48,5034.09513,1,137.65599075,6679.6471953
"3793",60.09,20.48,355.201632,1,137.75422719,6679.3513371
"3794",60.09,20.48,93.02750109,1,137.69482399,6679.3402092
